time,distance,strafes,pre,max,height,sync,crouchjump,-forward
1669132682,273.5494,10,275.101,341,56.9,54,yes,yes
1669132686,282.6922,10,275.101,363,56.9,83,yes,yes
1669132688,275.3725,10,276.101,354,56.9,70,yes,yes
1669132693,274.5922,10,275.601,342,56.9,53,yes,yes
1669132695,280.9362,10,275.601,359,56.9,73,yes,yes
1669132697,274.5069,10,275.351,338,56.9,52,yes,yes
1669132699,277.7913,10,274.601,348,56.9,63,yes,yes
1669132701,280.3301,10,274.850,362,56.9,78,yes,yes
1669132704,281.0839,10,275.851,363,56.9,83,yes,yes
1669132706,269.9270,10,275.351,325,56.9,40,yes,yes
1669132708,276.1306,10,276.101,343,56.9,54,yes,yes
1669132710,280.4699,10,275.351,364,56.9,84,yes,yes
1669132712,281.9718,10,276.101,358,56.9,76,yes,yes
1669132714,279.9764,10,275.351,362,56.9,76,yes,yes
1669132716,276.7320,10,272.226,355,56.9,75,yes,yes
1669132718,278.2850,10,274.851,351,56.9,62,yes,yes
1669132722,275.3824,10,275.351,357,56.9,70,yes,yes
1669132724,279.4252,10,275.601,354,56.9,71,yes,yes
1669132726,277.5400,10,274.851,356,56.9,76,yes,yes
1669132728,280.4317,10,275.851,366,56.9,81,yes,yes
1669132730,277.2164,10,273.601,348,56.9,68,yes,yes
1669132743,271.5272,10,274.351,344,56.9,58,yes,yes
1669132753,276.0635,10,275.601,346,56.9,60,yes,yes
1669132755,279.5729,10,276.101,355,56.9,80,yes,yes
1669132757,268.1793,10,275.101,339,56.9,58,yes,yes
1669132759,272.7835,10,275.351,339,56.9,55,yes,yes
1669132761,273.6815,10,276.101,347,56.9,65,yes,yes
1669132763,277.5818,10,274.601,350,56.9,67,yes,yes
1669132765,278.5455,10,275.351,356,56.9,73,yes,yes
1669132767,271.9108,10,275.101,339,56.9,54,yes,yes
1669132769,271.6716,10,268.350,345,56.9,63,yes,yes
1669132771,279.7095,10,275.851,371,56.9,91,yes,yes
1669132773,277.9924,10,276.101,354,56.9,66,yes,yes
1669132775,268.7422,10,275.851,326,56.9,41,yes,yes
1669132777,279.3339,10,273.976,361,56.9,83,yes,yes
1669132781,275.0433,10,274.351,352,56.9,67,yes,yes
1669132785,277.9611,10,274.851,355,56.9,75,yes,yes
1669132789,271.3997,10,274.851,346,56.9,63,yes,yes
1669132793,277.3784,10,275.601,352,56.9,73,yes,yes
1669132795,278.7217,10,275.351,353,56.9,75,yes,yes
1669132800,274.2576,10,275.101,351,56.9,73,yes,yes
1669132803,279.7894,10,275.351,356,56.9,78,yes,yes
1669132804,278.2907,10,271.726,363,56.9,84,yes,yes
1669132806,281.0341,10,275.601,359,56.9,79,yes,yes
1669132809,277.4514,10,275.601,347,56.9,60,yes,yes
1669132811,275.3498,10,274.851,348,56.9,62,yes,yes
1669132813,272.8827,10,274.365,357,56.9,80,yes,yes
1669132815,273.3379,10,275.601,356,56.9,82,yes,yes
1669132817,278.6897,10,274.226,361,56.9,84,yes,yes
1669132819,279.5478,10,276.101,358,56.9,78,yes,yes
1669132823,277.5244,10,272.851,359,56.9,85,yes,yes
1669132825,272.7962,10,272.976,339,56.9,59,yes,yes
1669132827,268.8672,10,274.101,335,56.9,52,yes,yes
1669132829,274.3168,10,275.851,359,56.9,85,yes,yes
